Name,Sx,Sy,Sz,Ex,Ey,Ez,Trend,Plunge,Length,fam,REGION
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.1 on 06->344,629492.501,5056965.084,31.69799995,629491.946,5056967.12,31.47500038,344.7522888,6.032182217,2.122047424,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.4 on -18->332,629491.797,5056967.577,31.41399956,629490.721,5056969.624,32.18899918,332.2716675,-18.52731705,2.438969612,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.8 on 04->311,629490.189,5056972.339,29.52000046,629488.14,5056974.164,29.29400063,311.6912231,4.708482742,2.753192186,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.4 on 06->158,629490.394,5056971.484,29.40200043,629491.252,5056969.254,29.11300087,158.9553986,6.896626949,2.406761408,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.9 on -2->322,629485.853,5056977.19,31.2329998,629484.133,5056979.466,31.34799957,322.9212341,-2.308340788,2.855137348,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.3.3 on 00->312,629481.97,5056981.631,28.24600029,629479.546,5056983.817,28.27700043,312.0449524,-0.543926477,3.264282703,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.3.3 on 01->311,629482.777,5056980.135,33.57600021,629480.317,5056982.291,33.49499893,311.2318726,1.418583274,3.27209878,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.3.5 on 00->131,629483.57,5056979.283,33.45500183,629486.193,5056976.932,33.48799896,131.8702393,-0.536683381,3.522556782,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.8 on 10->319,629486.06,5056976.636,24.39699936,629484.297,5056978.699,23.91200066,319.4832764,10.13310146,2.756685495,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.3.1 on -3->304,629477.314,5056985.683,32.53300095,629474.721,5056987.443,32.69800186,304.1669922,-3.013828516,3.138222694,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.9 on 00->120,629472.276,5056989.395,33.27700043,629474.785,5056987.913,33.2859993,120.5691071,-0.176938713,2.914015055,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.4 on 01->319,629466.834,5057000.94,34.74200058,629465.262,5057002.763,34.69900131,319.2279053,1.023355484,2.407576084,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J1.2.0 on -4->307,629463.796,5057004.984,34.7480011,629462.251,5057006.167,34.88899994,307.44104,-4.144442081,1.950974822,fam1,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.3 on -63->172,629562.14,5056895.04,27.16300011,629562.275,5056894.022,29.23800087,172.4454193,-63.66917419,2.315208673,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.6 on -89->180,629562.16,5056895.221,23.85300064,629562.16,5056895.191,26.47900009,180.0,-89.34483337,2.626171112,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.0 on 82->016,629561.076,5056895.617,23.89699936,629561.152,5056895.871,21.94099998,16.657547,82.28186798,1.973881245,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.3.1 on -77->163,629560.831,5056895.352,27.10400009,629561.016,5056894.733,30.09499931,163.3609009,-77.81108856,3.059981108,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.1 on -49->166,629559.684,5056897.117,27.63299942,629560.003,5056895.81,29.2310009,166.2852783,-49.90579987,2.088927269,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.7 on 39->340,629558.639,5056896.426,29.91399956,629558.195,5056897.692,28.81800079,340.6747742,39.24693298,1.732355714,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.8 on -43->130,629556.339,5056899.412,26.58300018,629557.92,5056898.069,28.52499962,130.3471222,-43.11159515,2.841583967,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.9 on -80->228,629556.033,5056900.088,24.00699997,629555.801,5056899.885,25.87199974,228.8130035,-80.61425018,1.890305758,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.4.2 on 86->172,629551.027,5056903.93,28.18199921,629551.063,5056903.639,23.94499969,172.9459839,86.04096985,4.247134686,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.9 on 84->086,629549.203,5056905.62,27.11000061,629549.505,5056905.639,24.18799973,86.40348053,84.08761597,2.937627316,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.4 on -79->194,629547.919,5056907.746,22.10099983,629547.856,5056907.505,23.44300079,194.649231,-79.48604584,1.364917278,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -82->330,629546.381,5056907.989,30.94300079,629546.263,5056908.197,32.77099991,330.438324,-82.54693604,1.843574643,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.3.4 on -84->230,629545.255,5056909.257,21.95899963,629544.98,5056909.03,25.36100006,230.4656372,-84.01609039,3.4206388,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.1 on -89->170,629544.091,5056910.5,20.88599968,629544.096,5056910.469,23.02799988,170.8305511,-89.15995789,2.142230511,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.4 on -68->140,629541.485,5056912.036,25.29299927,629542.032,5056911.362,27.5189991,140.9387665,-68.6964035,2.389261961,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.0 on -82->234,629541.258,5056912.748,23.7310009,629541.029,5056912.582,25.75600052,234.0598907,-82.0484314,2.044658184,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -88->255,629539.531,5056913.639,21.66399956,629539.496,5056913.63,23.43600082,255.6354218,-88.83081055,1.772370219,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.9 on -67->102,629539.153,5056913.207,26.1989994,629539.877,5056913.044,27.94799995,102.6852112,-67.00814819,1.899930239,fam2,VARENNE
